"MONTH" "YEAR" "ave_mo_t" "opium_t" "mj_t" "coca_t" "fips" "year"
1 2002 -2.75 0 0 0 "BK" 2002
1 2003 0.0566666666666666 0 0 0 "BK" 2003
1 2004 -0.79 0 0 0 "BK" 2004
1 2005 2.90625 0 0 0 "BK" 2005
1 2006 -1.78461538461538 0 0 0 "BK" 2006
1 2007 7.25625 0 0 0 "BK" 2007
1 2008 3.02727272727273 0 0 0 "BK" 2008
1 2009 -1.49722222222222 0 0 0 "BK" 2009
1 2010 -0.210526315789474 0 0 0 "BK" 2010
1 2011 3.06052631578947 0 0 0 "BK" 2011
1 2012 2.96875 0 0 0 "BK" 2012
1 2013 4.12 0 0 0 "BK" 2013
1 2015 4.81875 0 0 0 "BK" 2015
1 2019 1 0 0 0 "BK" 2019
2 2003 -0.33 0 0 0 "BK" 2003
2 2004 4.87916666666667 0 0 0 "BK" 2004
2 2005 -1.06538461538462 0 0 0 "BK" 2005
2 2006 2.51052631578947 0 0 0 "BK" 2006
2 2007 7.60833333333333 0 0 0 "BK" 2007
2 2008 5.928 0 0 0 "BK" 2008
2 2009 3.75714285714286 0 0 0 "BK" 2009
2 2010 2.440625 0 0 0 "BK" 2010
2 2011 2.6452380952381 0 0 0 "BK" 2011
2 2012 -1.93125 0 0 0 "BK" 2012
2 2013 2.55 0 0 0 "BK" 2013
2 2015 2.55909090909091 0 0 0 "BK" 2015
2 2018 1.44 0 0 0 "BK" 2018
3 2002 8.95 0 0 0 "BK" 2002
3 2003 7.2578947368421 0 0 0 "BK" 2003
3 2004 8.24736842105263 0 0 0 "BK" 2004
3 2005 3.39666666666667 0 0 0 "BK" 2005
3 2006 6.07708333333333 0 0 0 "BK" 2006
3 2007 9.18333333333333 0 0 0 "BK" 2007
3 2008 8.62291666666667 0 0 0 "BK" 2008
3 2009 8.11842105263158 0 0 0 "BK" 2009
3 2010 7.67826086956522 0 0 0 "BK" 2010
3 2011 6.88863636363636 0 0 0 "BK" 2011
3 2012 9.67222222222222 0 0 0 "BK" 2012
3 2013 7.425 0 0 0 "BK" 2013
3 2015 5.4 0 0 0 "BK" 2015
3 2016 7.75 0 0 0 "BK" 2016
3 2017 12.725 0 0 0 "BK" 2017
3 2018 0.8 0 0 0 "BK" 2018
4 2002 14.075 0 0 0 "BK" 2002
4 2003 12.6692307692308 0 0 0 "BK" 2003
4 2004 12.9857142857143 0 0 0 "BK" 2004
4 2005 12.740625 0 0 0 "BK" 2005
4 2006 13.1239130434783 0 0 0 "BK" 2006
4 2007 14.316 0 0 0 "BK" 2007
4 2008 12.837037037037 0 0 0 "BK" 2008
4 2009 14.5522727272727 0 0 0 "BK" 2009
4 2010 12.5275 0 0 0 "BK" 2010
4 2011 14.148 0 0 0 "BK" 2011
4 2012 12.6928571428571 0 0 0 "BK" 2012
4 2013 14.7425 0 0 0 "BK" 2013
4 2017 15 0 0 0 "BK" 2017
4 2018 17.825 0 0 0 "BK" 2018
5 2002 18.56875 0 0 0 "BK" 2002
5 2003 19.525 0 0 0 "BK" 2003
5 2004 14.80625 0 0 0 "BK" 2004
5 2005 17.1583333333333 0 0 0 "BK" 2005
5 2006 16.6666666666667 0 0 0 "BK" 2006
5 2007 19.1454545454545 0 0 0 "BK" 2007
5 2008 17.4913793103448 0 0 0 "BK" 2008
5 2009 19.1196428571429 0 0 0 "BK" 2009
5 2010 16.8447368421053 0 0 0 "BK" 2010
5 2011 16.188 0 0 0 "BK" 2011
5 2012 16.6547619047619 0 0 0 "BK" 2012
5 2013 16.8708333333333 0 0 0 "BK" 2013
5 2015 13.125 0 0 0 "BK" 2015
6 2002 17.825 0 0 0 "BK" 2002
6 2003 24.4588235294118 0 0 0 "BK" 2003
6 2004 19.7615384615385 0 0 0 "BK" 2004
6 2005 19.140625 0 0 0 "BK" 2005
6 2006 20.7096153846154 0 0 0 "BK" 2006
6 2007 23.214 0 0 0 "BK" 2007
6 2008 21.8130434782609 0 0 0 "BK" 2008
6 2009 20.83125 0 0 0 "BK" 2009
6 2010 20.4775 0 0 0 "BK" 2010
6 2011 21.7958333333333 0 0 0 "BK" 2011
6 2012 23.0545454545455 0 0 0 "BK" 2012
6 2013 20.6282608695652 0 0 0 "BK" 2013
6 2017 28.15 0 0 0 "BK" 2017
7 2002 23.0916666666667 0 0 0 "BK" 2002
7 2003 23.302380952381 0 0 0 "BK" 2003
7 2004 22.6025 0 0 0 "BK" 2004
7 2005 20.75 0 0 0 "BK" 2005
7 2006 22.5363636363636 0 0 0 "BK" 2006
7 2007 24.3788461538462 0 0 0 "BK" 2007
7 2008 23.0846153846154 0 0 0 "BK" 2008
7 2009 23.6913043478261 0 0 0 "BK" 2009
7 2010 23.74375 0 0 0 "BK" 2010
7 2011 23.5620689655172 0 0 0 "BK" 2011
7 2012 24.55 0 0 0 "BK" 2012
7 2013 23.3958333333333 0 0 0 "BK" 2013
7 2015 28.9 0 0 0 "BK" 2015
7 2018 22.5833333333333 0 0 0 "BK" 2018
8 2001 23.25 0 0 0 "BK" 2001
8 2002 21.175 0 0 0 "BK" 2002
8 2003 24.37 0 0 0 "BK" 2003
8 2004 23.1307692307692 0 0 0 "BK" 2004
8 2005 19.0142857142857 0 0 0 "BK" 2005
8 2006 20.855 0 0 0 "BK" 2006
8 2007 23.4809523809524 0 0 0 "BK" 2007
8 2008 23.406 0 0 0 "BK" 2008
8 2009 24.0934782608696 0 0 0 "BK" 2009
8 2010 22.8185185185185 0 0 0 "BK" 2010
8 2011 24.465 0 0 0 "BK" 2011
8 2012 25.2239130434783 0 0 0 "BK" 2012
8 2013 24.2875 0 0 0 "BK" 2013
8 2015 27.0833333333333 0 0 0 "BK" 2015
8 2017 19.2 0 0 0 "BK" 2017
